Variable,Description
Company_Name,
Dependent-Company Status,Dependent variable indicating if company succeeded or failed
year of founding,
Age of company in years,
Internet Activity Score,How much company is acgtive on social media
Short Description of company profile,
Industry of company,
Focus functions of company,
Investors,List of investors
Employee Count,
Employees count MoM change,
Has the team size grown,
Est. Founding Date,
Last Funding Date,
Last Funding Amount,
Country of company,
Continent of company,
Number of Investors in Seed,
Number of Investors in Angel and or VC,
Number of Co-founders,
Number of of advisors,
Team size Senior leadership,
Team size all employees,
Presence of a top angel or venture fund in previous round of investment,
Number of of repeat investors,Number of investors who invested multiple times
Number of  Sales Support material,
Worked in top companies,
Average size of companies worked for in the past,for founders & cofounders
Have been part of startups in the past?,for founders & cofounders
Have been part of successful startups in the past?,for founders & cofounders
Was he or she partner in Big 5 consulting?,for founders & cofounders
Consulting experience?,for founders & cofounders
Product or service company?,
Catering to product/service across verticals,
Focus on private or public data?,
Focus on consumer data?,
Focus on structured or unstructured data,
Subscription based business,
Cloud or platform based serive/product?,
Local or global player,
Linear or Non-linear business model,
"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",
Number of  of Partners of company,
Crowdsourcing based business,
Crowdfunding based business,
Machine Learning based business,
Predictive Analytics business,
Speech analytics business,
Prescriptive analytics business,
Big Data Business,
Cross-Channel Analytics/ marketing channels,
Owns data or not? (monetization of data) e.g. Factual,
Is the company an aggregator/market place? e.g. Bluekai,
Online or offline venture - physical location based business or online venture?,
B2C or B2B venture?,
Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,
Average Years of experience for founder and co founder,
Exposure across the globe,for founders & cofounders
Breadth of experience across verticals,for founders & cofounders
Highest education,for founders & cofounders
Years of education,for founders & cofounders
Specialization of highest education,for founders & cofounders
Relevance of education to venture,for founders & cofounders
Relevance of experience to venture,for founders & cofounders
Degree from a Tier 1 or Tier 2 university?,for founders & cofounders
Renowned in professional circle,for founders & cofounders
Experience in selling and building products,for founders & cofounders
Experience in Fortune 100 organizations,for founders & cofounders
Experience in Fortune 500 organizations,for founders & cofounders
Experience in Fortune 1000 organizations,for founders & cofounders
Top management similarity,for founders & cofounders
Number of Recognitions for Founders and Co-founders,for founders & cofounders
Number of  of Research publications,for founders & cofounders
Skills score,for founders & cofounders
Team Composition score,
Dificulty of Obtaining Work force,
Pricing Strategy,
Hyper localisation,
Time to market service or product,
Employee benefits and salary structures,
Long term relationship with other founders,
Proprietary or patent position (competitive position),
Barriers of entry for the competitors,
Company awards,
Controversial history of founder or co founder,
Legal risk and intellectual property,
Client Reputation,
google page rank of company website,
Technical proficiencies to analyse and interpret unstructured data,
Solutions offered,
Invested through global incubation competitions?,
Industry trend in investing,
Disruptiveness of technology,
Number of Direct competitors,
Employees per year of company existence,
Last round of funding received (in milionUSD),
"Survival through recession, based on existence of the company through recession times",
Time to 1st investment (in months),
"Avg time to investment - average across all rounds, measured from previous investment",
Gartner hype cycle stage,
Time to maturity of technology (in years),
Percent_skill_Entrepreneurship,for founders & cofounders
Percent_skill_Operations,for founders & cofounders
Percent_skill_Engineering,for founders & cofounders
Percent_skill_Marketing,for founders & cofounders
Percent_skill_Leadership,for founders & cofounders
Percent_skill_Data Science,for founders & cofounders
Percent_skill_Business Strategy,for founders & cofounders
Percent_skill_Product Management,for founders & cofounders
Percent_skill_Sales,for founders & cofounders
Percent_skill_Domain,for founders & cofounders
Percent_skill_Law,for founders & cofounders
Percent_skill_Consulting,for founders & cofounders
Percent_skill_Finance,for founders & cofounders
Percent_skill_Investment,for founders & cofounders
Renown score,for founders & cofounders
